Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Coforge,AI,Positive,0.3,0.109,0,Buy or avoid India's IT stocks after recent job cuts?
2,cnbc.com,https://www.cnbc.com/2025/09/22/how-india-will-feel-the-sting-of-trumps-h-1b-visa-fee-hike.html,Coforge,AI,Positive,0.2,0.178,0,"India feels the sting as Trump slaps $100,000 fee on"
3,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Coforge,Economics,Negative,0.2,0.11,0,Buy or avoid India's IT stocks after recent job cuts?
4,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Coforge,Semiconductor,Positive,0.2,0.059,0,Buy or avoid India's IT stocks after recent job cuts?
5,economictimes.indiatimes.com,https://economictimes.indiatimes.com/et-front/altimetrik-closes-in-on-slk-software-buyout/articleshow/121474256.cms,Coforge,AI,Positive,0.275,0.173,0,Altimetrik Closes in on SLK Software Buyout
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/fresher/iit-placement-early-signs-of-stronger-recruiter-appetite-this-year/articleshow/123964984.cms,Coforge,AI,Positive,0.275,0.082,0,IIT placement: Early signs of stronger recruiter appetite this year
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Coforge,AI,Positive,0.375,0.181,0,Midcap IT companies in India poach talent from industry majors
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/cautious-on-largecap-it-metals-zomato-or-swiggy-reliance-can-be-portfolio-bets-dipan-mehta/articleshow/116198052.cms,Coforge,AI,Positive,0.35,0.258,0,"Cautious on largecap IT, metals; Zomato or Swiggy & Reliance"
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/could-it-make-a-meaningful-comeback-in-q1-deven-choksey-explains/articleshow/111421305.cms,Coforge,AI,Positive,0.35,0.092,0,Could IT make a meaningful comeback in Q1? Deven Choksey
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/gst-led-consumption-boost-dabur-marico-trent-cement-names-look-promising-rajesh-palviya/articleshow/124060759.cms,Coforge,AI,Positive,0.2,0.121,0,"GST-led consumption boost: Dabur, Marico, Trent, cement names look promising:"
