Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,HCLTech,AI,Positive,0.375,0.154,0,Buy or avoid India's IT stocks after recent job cuts?
2,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,HCLTech,Economics,Negative,0.275,0.199,0,Buy or avoid India's IT stocks after recent job cuts?
3,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,HCLTech,Semiconductor,Positive,0.275,0.038,0,Buy or avoid India's IT stocks after recent job cuts?
4,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/could-it-make-a-meaningful-comeback-in-q1-deven-choksey-explains/articleshow/111421305.cms,HCLTech,AI,Positive,0.35,0.077,0,Could IT make a meaningful comeback in Q1? Deven Choksey
5,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/hcl-techs-broad-based-growth-margin-boosts-signal-strong-future-performance-ravi-menon/articleshow/114244285.cms,HCLTech,AI,Negative,0.375,0.072,0,HCL Tech's broad-based growth & margin boosts signal strong future
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/helios-has-been-adding-it-stocks-platform-cos-since-july-end-dinshaw-irani-explains-why/articleshow/112887413.cms,HCLTech,AI,Negative,0.3,0.064,0,Helios has been adding IT stocks & platform cos since
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/hcl-tech-q3-results-pat-grows-6-yoy-to-rs-4591-crore-revenue-up-5-rs-18-dividend-declared/articleshow/117206260.cms,HCLTech,AI,Positive,0.45,0.181,0,HCL Technologies Q3 Results: PAT grows 6% YoY to Rs
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/hcl-tech-q4-results-preview-pat-seen-rising-8-yoy-fy26-guidance-in-focus/articleshow/120473883.cms,HCLTech,AI,Positive,0.275,0.214,0,HCL Tech Q4 results preview: PAT seen rising 8% YoY;
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/hcl-technologies-announces-rs-18-per-share-dividend-sets-jan-17-as-record-date/articleshow/117207312.cms,HCLTech,AI,Positive,0.475,0.061,0,"HCL Technologies announces Rs 18 per share dividend, sets Jan"
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/18-top-stock-picks-for-2025-from-6-leading-brokers/articleshow/116842980.cms,HCLTech,AI,Positive,0.4,0.117,0,18 top stock picks for 2025 from 6 leading brokers
