Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,cnbc.com,https://www.cnbc.com/2025/09/22/how-india-will-feel-the-sting-of-trumps-h-1b-visa-fee-hike.html,Mphasis,AI,Positive,0.3,0.142,0,"India feels the sting as Trump slaps $100,000 fee on"
2,economictimes.indiatimes.com,https://economictimes.indiatimes.com/et-front/altimetrik-closes-in-on-slk-software-buyout/articleshow/121474256.cms,Mphasis,AI,Positive,0.35,0.155,0,Altimetrik Closes in on SLK Software Buyout
3,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/adq-sheikh-tahnoon-vehicle-eyes-200-mn-stake-in-aadhar-housing-finance/articleshow/122939873.cms,Mphasis,AI,Neutral,0.375,1.0,0,ADQ-Sheikh Tahnoon vehicle eyes $200 mn stake in Aadhar Housing
4,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Mphasis,AI,Positive,0.375,0.181,0,Midcap IT companies in India poach talent from industry majors
5,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/autos-it-and-metals-parag-thakkars-sectoral-playbook-for-investors/articleshow/124086754.cms,Mphasis,AI,Positive,0.2,0.063,0,"Autos, IT and Metals: Parag Thakkar’s sectoral playbook for investors"
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/gst-led-consumption-boost-dabur-marico-trent-cement-names-look-promising-rajesh-palviya/articleshow/124060759.cms,Mphasis,AI,Positive,0.2,0.121,0,"GST-led consumption boost: Dabur, Marico, Trent, cement names look promising:"
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/indian-it-sector-shows-resilience-amid-global-headwinds-gaurang-shah/articleshow/124620442.cms,Mphasis,AI,Positive,0.375,0.193,0,Indian IT sector shows resilience amid global headwinds: Gaurang Shah
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/long-term-outlook-good-for-it-services-sector-macquaries-ravi-menon-bullish-on-5-large-and-midcap-stocks/articleshow/112707059.cms,Mphasis,AI,Positive,0.3,0.076,0,Long-term outlook good for IT services sector; Macquarie's Ravi Menon
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/midcap-it-offers-greater-growth-potential-amid-market-saturation-of-largecap-stocks-nilesh-shah/articleshow/116849280.cms,Mphasis,AI,Positive,0.4,0.094,0,Midcap IT offers greater growth potential amid market saturation of
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/sanjiv-bhasin-picks-3-sectors-that-may-outperform-in-near-term/articleshow/110893718.cms,Mphasis,AI,Negative,0.5,0.274,0,Sanjiv Bhasin picks 3 sectors that may outperform in near
11,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/what-made-nomura-turn-bullish-on-indian-it-sector-abhishek-bhandari-answers/articleshow/111487716.cms,Mphasis,AI,Positive,0.275,0.084,0,What made Nomura turn bullish on Indian IT sector? Abhishek
12,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/explained-why-tcs-firing-12000-employees-may-be-a-canary-in-the-mine-and-what-it-means-for-investors/articleshow/122947344.cms,Mphasis,AI,Positive,0.375,0.07,0,"Explained: Why TCS firing 12,000 employees may be a canary"
13,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/from-cyient-to-tcs-49-it-stocks-see-fii-selling-amid-year-long-slump-do-you-own-any/articleshow/125970165.cms,Mphasis,AI,Negative,0.275,0.174,0,"From Cyient to TCS, 49 IT stocks see FII selling"
14,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-drag-sensex-over-200-pts-lower-nifty-slides-below-24300-mark/articleshow/114801811.cms,Mphasis,AI,Positive,0.275,0.085,0,IT stocks drag Sensex over 300 pts lower; Nifty slides
15,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-hit-decade-high-3-2-dividend-yield-as-fiis-flee-should-you-buy-tcs-infosys-wipro-before-q1-results/articleshow/122310362.cms,Mphasis,AI,Positive,0.375,0.152,0,IT stocks hit decade-high 3.2% dividend yield as FIIs flee.
16,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-rally-up-to-8-heres-what-is-fueling-the-surge/articleshow/123801466.cms,Mphasis,AI,Positive,0.45,0.177,0,IT stocks rally up to 8%: Here’s what is fueling
17,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/rs-2-3-lakh-crore-comeback-it-stocks-roar-to-life-but-are-they-running-on-low-battery/articleshow/120682907.cms,Mphasis,AI,Positive,0.3,0.161,0,"Rs 2.3 lakh crore comeback: IT stocks roar to life,"
18,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-rises-over-250-points-nifty-tops-24300-tracking-asian-peers/articleshow/120604329.cms,Mphasis,AI,Positive,0.275,0.154,0,"Sensex erases early gains, tanks over 950 points, Nifty slips"
19,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stable-largecaps-or-high-growth-tier-2-bets-investors-it-stock-conundrum-at-play/articleshow/119931088.cms,Mphasis,AI,Positive,0.375,0.102,0,Stable largecaps or high-growth tier-2 bets? Investors' IT stock conundrum
20,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/tcs-infosys-wipro-rally-up-to-3-as-dovish-fed-outlook-lifts-indian-it-stocks/articleshow/119240222.cms,Mphasis,AI,Positive,0.45,0.21,0,"TCS, Infosys, Wipro rally up to 3% as dovish Fed"
21,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/too-early-to-write-obituaries-for-indian-it-companies-says-gurmeet-chadha-slams-analysts/articleshow/124365264.cms,Mphasis,AI,Positive,0.275,0.163,0,"Too early to write obituaries for Indian IT companies, says"
22,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/will-encora-acquisition-cement-coforges-ai-leadership-in-healthcare-and-hi-tech/articleshow/126222169.cms,Mphasis,AI,Positive,0.375,0.108,0,Will Encora acquisition cement Coforge’s AI leadership in healthcare and
23,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/altimetrik-nears-rs-5100-crore-acquisition-of-slk-software/articleshow/121473575.cms,Mphasis,AI,Positive,0.35,0.155,0,"Altimetrik nears Rs 5,100 crore acquisition of SLK Software"
24,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/pag-apax-others-in-race-to-buy-us-digital-firm-accion/articleshow/123439999.cms,Mphasis,AI,Positive,0.3,0.175,0,"PAG, Apax & others in race to buy US digital"
25,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/india/india-pegged-as-no-1-source-market-for-londons-ambitious-new-growth-plan/articleshow/118817659.cms,Mphasis,AI,Positive,0.4,0.195,0,India pegged as No 1 source market for London's ambitious
26,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/india-inc-pushes-for-ai-fluency-in-staff-performance-metrics/articleshow/125623536.cms,Mphasis,AI,Positive,0.75,0.091,0,India Inc pushes for AI fluency in staff performance metrics
27,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/ai-impact-big-discounts-in-it-deals-hurt-but-tech-spend-set-to-rise-says-coforge-ceo/articleshow/123393380.cms,Mphasis,AI,Negative,0.55,0.107,0,"AI Impact: Big discounts in IT deals hurt, but tech"
28,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/digital-transformation-deals-back-in-play-with-a-cost-twist/articleshow/112354807.cms,Mphasis,AI,Positive,0.4,0.119,0,digital transformation deals: Digital transformation deals back in play for
29,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/in-it-services-market-nimble-midsize-cos-gain-over-large-caps/articleshow/125986537.cms,Mphasis,AI,Positive,0.475,0.284,0,"In IT services market, nimble midsize cos gain over large"
30,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indias-tech-mas-on-a-three-year-high-with-deal-value-touching-29-billion/articleshow/126219507.cms,Mphasis,AI,Positive,0.475,0.063,0,India's tech M&As on a three-year high with deal value
31,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/it-midcaps-pull-away-from-delivery-model-linked-to-headcount/articleshow/125143055.cms,Mphasis,AI,Positive,0.75,0.134,0,IT midcaps pull away from delivery model linked to headcount
32,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/ltimindtree-wins-its-largest-ever-deal-sources-peg-size-at-580-million/articleshow/124342656.cms,Mphasis,AI,Positive,0.6,0.222,0,LTIMindtree wins its largest-ever deal; sources peg size at $580
33,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/mphasis-q2-net-profit-rises-10-8-to-rs-469-crore-revenue-rises-to-rs-3902-crore/articleshow/124986249.cms,Mphasis,AI,Positive,0.675,0.175,0,Mphasis Q2 net profit rises 10.8% to Rs 469 crore;
34,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/mphasis-to-focus-on-large-ai-led-deals-says-ceo/articleshow/120628275.cms,Mphasis,AI,Negative,1.0,0.051,0,"Mphasis to focus on large AI-led deals, says CEO -"
35,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/121479812.cms,Mphasis,Economics,Positive,0.375,0.019,0,Stock market update: Nifty IT index advances 0.99% in an
36,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122318497.cms,Mphasis,Economics,Positive,0.375,0.036,0,"Market Wrap: Sensex gains 270 points, Nifty tops 25,500 as"
37,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122557009.cms,Mphasis,Economics,Positive,0.375,0.019,0,Stock market update: Nifty IT index advances 0.14% in a
38,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/make-for-india-momentum-clearly-building-throwing-up-new-investment-opportunities-blackstone-coo-jonathan-gray/articleshow/109012234.cms,Mphasis,Economics,Negative,0.45,0.029,0,"Make for India momentum clearly building, throwing up new investment"
39,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/adq-sheikh-tahnoon-vehicle-eyes-200-mn-stake-in-aadhar-housing-finance/articleshow/122939873.cms,Mphasis,Economics,Neutral,0.475,1.0,0,ADQ-Sheikh Tahnoon vehicle eyes $200 mn stake in Aadhar Housing
40,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Mphasis,Economics,Positive,0.35,0.071,0,Midcap IT companies in India poach talent from industry majors
41,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/autos-it-and-metals-parag-thakkars-sectoral-playbook-for-investors/articleshow/124086754.cms,Mphasis,Economics,Neutral,0.3,1.0,0,"Autos, IT and Metals: Parag Thakkar’s sectoral playbook for investors"
42,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/buy-it-stocks-on-dips-not-big-on-pharma-but-like-specific-stocks-chakri-lokapriya/articleshow/114817045.cms,Mphasis,Economics,Positive,0.475,0.025,0,Buy IT stocks on dips; not big on pharma but
43,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/expect-sectoral-rotation-money-to-flow-into-it-bank-stocks-rajat-sharma/articleshow/115105688.cms,Mphasis,Economics,Positive,0.4,0.055,0,"Expect sectoral rotation, money to flow into IT, bank stocks:"
