Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tcs-study-reveals-64-of-consumers-open-to-evs-despite-charging-challenges/117226853,Tata Consultancy Services,AI,Positive,0.675,0.255,0,TCS study reveals 64% of consumers open to EVs despite
2,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tata-sons-charting-new-path-to-sidestep-dalal-street/108314865,Tata Consultancy Services,Economics,Positive,0.375,0.14,0,Tata Sons charting new path to sidestep Dalal Street
3,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tcs-study-reveals-64-of-consumers-open-to-evs-despite-charging-challenges/117226853,Tata Consultancy Services,Economics,Positive,0.475,0.043,0,TCS study reveals 64% of consumers open to EVs despite
4,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tata-extends-n-chandrasekarans-term-focuses-on-semiconductors-evs-and-air-india/124515590,Tata Consultancy Services,Geopolitics,Negative,0.55,0.076,0,N Chandrasekaran gets historic extension as Tata bets big on
5,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tata-extends-n-chandrasekarans-term-focuses-on-semiconductors-evs-and-air-india/124515590,Tata Consultancy Services,Semiconductor,Positive,0.55,0.109,0,N Chandrasekaran gets historic extension as Tata bets big on
6,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/tata-sons-charting-new-path-to-sidestep-dalal-street/108314865,Tata Consultancy Services,Semiconductor,Positive,0.375,0.196,0,Tata Sons charting new path to sidestep Dalal Street
7,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/passenger-vehicle/tata-group-partners-with-tesla-a-new-era-for-indian-electric-vehicle-supply-chains/119282983,Tata Consultancy Services,chips,Positive,0.575,0.085,0,Tata Group partners with Tesla: A new era for Indian
8,cnbc.com,https://www.cnbc.com/2024/04/06/a-superintelligence-ai-doomsday-is-not-where-futurists-see-world-going.html,Tata Consultancy Services,AI,Neutral,0.65,1.0,0,A super-intelligent AI doomsday is not where futurists see the
9,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Tata Consultancy Services,AI,Positive,0.475,0.081,0,Buy or avoid India's IT stocks after recent job cuts?
10,cnbc.com,https://www.cnbc.com/2025/09/22/how-india-will-feel-the-sting-of-trumps-h-1b-visa-fee-hike.html,Tata Consultancy Services,AI,Positive,0.2,0.161,0,"India feels the sting as Trump slaps $100,000 fee on"
11,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Tata Consultancy Services,Economics,Negative,0.375,0.119,0,Buy or avoid India's IT stocks after recent job cuts?
12,cnbc.com,https://www.cnbc.com/2024/04/06/a-superintelligence-ai-doomsday-is-not-where-futurists-see-world-going.html,Tata Consultancy Services,Energy and Electricity,Positive,0.35,0.088,0,A super-intelligent AI doomsday is not where futurists see the
13,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Tata Consultancy Services,Semiconductor,Negative,0.375,0.047,0,Buy or avoid India's IT stocks after recent job cuts?
14,cnbctv18.com,https://www.cnbctv18.com/business/companies/internally-people-refer-to-me-as-chief-marathon-officer-tcs-global-cmo-abhinav-kumar-19130771.htm,Tata Consultancy Services,AI,Positive,0.75,0.288,0,Internally people refer to me as chief marathon officer: TCS
15,cnbctv18.com,https://www.cnbctv18.com/market/tcs-share-price-inks-deal-mcdonalds-philippines-modernise-it-landscapes-restaurants-19478284.htm,Tata Consultancy Services,AI,Positive,0.75,0.11,0,TCS inks deal with McDonald's Philippines to modernise its IT
16,cnbctv18.com,https://www.cnbctv18.com/market/tcs-share-price-partners-with-the-warehouse-group-in-new-zealand-for-retailer-digital-transformation-19674257.htm,Tata Consultancy Services,AI,Positive,0.75,0.164,0,TCS secures IT transformation deal from New Zealand’s largest retail
17,cnbctv18.com,https://www.cnbctv18.com/business/top-10-stories-today-tcs-job-cuts-nifty-slides-operation-sindoor-divya-deshmukh-and-more-19644873.htm,Tata Consultancy Services,Energy and Electricity,Negative,0.55,0.058,0,"Top 10@10 | TCS job cuts, Nifty slides, Operation Sindoor"
18,cnbctv18.com,https://www.cnbctv18.com/business/top-10-stories-today-tcs-job-cuts-nifty-slides-operation-sindoor-divya-deshmukh-and-more-19644873.htm,Tata Consultancy Services,chips,Positive,0.55,0.043,0,"Top 10@10 | TCS job cuts, Nifty slides, Operation Sindoor"
19,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/121630414.cms,Tata Consultancy Services,AI,Positive,0.475,0.136,0,IT’s growth search takes them to doors of mid-market firms
20,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122371688.cms,Tata Consultancy Services,AI,Positive,0.675,0.071,0,Global headwinds take a toll on TCS revenue in June
21,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122378340.cms,Tata Consultancy Services,AI,Positive,0.45,0.128,0,TCS shares tumble 2% after Q1 show fails to cheer
22,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122443922.cms,Tata Consultancy Services,AI,Neutral,1.0,1.0,0,"AI startups rising, but context, experience are key differentiators: TCS"
23,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122474377.cms,Tata Consultancy Services,AI,Positive,0.375,0.095,0,HCL Technologies outperforms TCS in revenue growth despite profitability challenges
24,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/apr/13/satet-front/tcs-posts-9-1-rise-in-q4-net-profit-signals-end-to-it-pain/articleshow/109256913.cms,Tata Consultancy Services,AI,Positive,0.375,0.071,0,"TCS Posts 9.1% Rise in Q4 Net Profit, Signals End"
25,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/jan/12/et-front/tcs-and-infosys-logmuted-sales-growth/articleshow/106740694.cms,Tata Consultancy Services,AI,Negative,0.375,0.106,0,TCS and Infosys Log Muted Sales Growth
26,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/jul/12/et-front/tcs-first-quarter-net-profit-declines-due-to-wage-hikes-and-demand-slowdown/articleshow/111670416.cms,Tata Consultancy Services,AI,Positive,0.675,0.161,0,Wage Hikes-Demand Slowdown Combo Weighs on TCS First Quarter Net
27,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/oct/11/et-front/tcs-reports-5-profit-growth-in-q2-driven-by-bsnl-deal/articleshow/114130793.cms,Tata Consultancy Services,AI,Neutral,0.675,1.0,0,India Deal Lifts TCS Q2 Revenue
28,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/sep/20/et-front/indias-ai-stridesmay-face-privacy-law-headwinds/articleshow/113503420.cms,Tata Consultancy Services,AI,Positive,0.675,0.141,0,India’s AI Strides may face Privacy Law Headwinds
29,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/dec/04/et-front/openai-strives-for-tata-hand-to-grow-footprint-in-india/articleshow/125753178.cms,Tata Consultancy Services,AI,Positive,0.675,0.082,0,OpenAI Strives for Tata Hand to Grow Footprint in India
30,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/jul/14/et-front/global-uncertainty-hurting-growth-but-not-losing-mkt-share/articleshow/122424173.cms,Tata Consultancy Services,AI,Negative,0.475,0.069,0,Global Uncertainty Hurting Growth; but not Losing Market Share
31,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/jul/28/et-front/2-pink-slips100-shock/articleshow/122940598.cms,Tata Consultancy Services,AI,Positive,0.55,0.185,0,2% Pink Slips 100% Shock
32,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/nov/21/et-front/tcs-joins-ai-data-centre-rush-with-2b-tpg-alliance/articleshow/125472135.cms,Tata Consultancy Services,AI,Positive,1.0,0.063,0,"TCS Joins AI, Data Centre Rush with $2Billion TPG Alliance"
33,economictimes.indiatimes.com,https://economictimes.indiatimes.com/et-front/2-pink-slips100-shock/articleshow/122940598.cms,Tata Consultancy Services,AI,Positive,0.55,0.185,0,2% Pink Slips 100% Shock
34,economictimes.indiatimes.com,https://economictimes.indiatimes.com/et-front/ai-bust-will-be-followed-by-huge-bounceback/articleshow/125775600.cms,Tata Consultancy Services,AI,Positive,0.375,0.086,0,AI ‘Bust’ Will be Followed by Huge Bounceback: Abhijit Dubey
