Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/auto-technology/democratisation-and-cost-consolidation-of-tech-among-key-trends-at-auto-inc-in-2025/116633077,Tech Mahindra,AI,Positive,0.475,0.069,0,Democratisation and cost consolidation of tech to be key trends
2,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/auto-technology/democratisation-and-cost-consolidation-of-tech-among-key-trends-at-auto-inc-in-2025/116633077,Tech Mahindra,Economics,Positive,0.55,0.047,0,Democratisation and cost consolidation of tech to be key trends
3,cio.economictimes.indiatimes.com,https://cio.economictimes.indiatimes.com/news/corporate-news/tech-mahindra-ibm-collaborate-to-drive-digital-adoption/108724296,Tech Mahindra,AI,Positive,0.675,0.119,0,"Tech Mahindra, IBM collaborate to drive digital adoption"
4,cnbc.com,https://www.cnbc.com/2025/09/22/how-india-will-feel-the-sting-of-trumps-h-1b-visa-fee-hike.html,Tech Mahindra,AI,Positive,0.2,0.161,0,"India feels the sting as Trump slaps $100,000 fee on"
5,cnbctv18.com,https://www.cnbctv18.com/market/infosys-tcs-wipro-hcltech-share-price-impact-of-accenture-results-adr-nyse-guidance-brokerages-19576877.htm,Tech Mahindra,AI,Neutral,0.45,1.0,0,IT Stocks barring Infosys and Wipro recover after initial fall
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/121630414.cms,Tech Mahindra,AI,Positive,0.375,0.136,0,IT’s growth search takes them to doors of mid-market firms
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/aug/14/et-front/its-time-to-hit-refresh-for-26b-deals/articleshow/112505264.cms,Tech Mahindra,AI,Positive,0.2,0.08,0,IT’s Time to Hit Refresh for $26b Deals
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/hr-policies-trends/india-inc-to-boost-hiring-by-at-least-10-next-year-vs-2024-estimates-ciel-hr/articleshow/116750718.cms,Tech Mahindra,AI,Positive,0.55,0.144,0,India Inc to boost hiring by at least 10% next
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/hr-policies-trends/the-hottest-jobs-5-years-from-now-the-answers-will-surprise-you/articleshow/121188422.cms,Tech Mahindra,AI,Neutral,0.575,1.0,0,The hottest jobs 5 years from now? The answers will
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Tech Mahindra,AI,Positive,0.375,0.181,0,Midcap IT companies in India poach talent from industry majors
11,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/anand-james-on-niftys-path-to-26000-sector-trends-and-top-stock-picks-for-the-week/articleshow/124505684.cms,Tech Mahindra,AI,Positive,0.275,0.138,0,"Anand James on Nifty’s path to 26,000, sector trends, and"
12,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/fo-talk-nifty-eyes-strong-support-at-21200-21300-monthly-20-ema-breach-likely-rahul-ghose-of-hedged-in/articleshow/115376904.cms,Tech Mahindra,AI,Positive,0.3,0.283,0,"F&O Talk | Nifty eyes strong support at 21,200-21,300, monthly"
13,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/hcl-techs-broad-based-growth-margin-boosts-signal-strong-future-performance-ravi-menon/articleshow/114244285.cms,Tech Mahindra,AI,Positive,0.3,0.144,0,HCL Tech's broad-based growth & margin boosts signal strong future
14,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/how-will-indian-it-companies-perform-going-ahead-sandip-agarwal-answers/articleshow/111156505.cms,Tech Mahindra,AI,Positive,0.375,0.17,0,How will Indian IT companies perform going ahead? Sandip Agarwal
15,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/long-term-outlook-good-for-it-services-sector-macquaries-ravi-menon-bullish-on-5-large-and-midcap-stocks/articleshow/112707059.cms,Tech Mahindra,AI,Negative,0.475,0.078,0,Long-term outlook good for IT services sector; Macquarie's Ravi Menon
16,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/march-magic-on-display-share-market-expert-tells-if-this-is-just-seasonality-or-a-trend-reversal/articleshow/119415034.cms,Tech Mahindra,AI,Positive,0.3,0.255,0,March magic on display! Share.market expert tells if this is
17,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/sandip-agarwal-on-what-should-investors-do-with-infosys-tcs-and-wipro-stocks/articleshow/114336630.cms,Tech Mahindra,AI,Positive,0.275,0.163,0,"Sandip Agarwal on what should investors do with Infosys, TCS,"
18,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/sandip-agarwals-4-top-bets-from-it-sector-for-near-term/articleshow/110791619.cms,Tech Mahindra,AI,Positive,0.2,0.132,0,Sandip Agarwal's 4 top bets from IT sector for near
19,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/tech-mahindra-q2-net-profit-up-153-yoy-to-1250-cr/articleshow/114389616.cms,Tech Mahindra,AI,Positive,0.475,0.171,0,Tech Mahindra Q2 net profit up 153% YoY to Rs
20,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/from-cyient-to-tcs-49-it-stocks-see-fii-selling-amid-year-long-slump-do-you-own-any/articleshow/125970165.cms,Tech Mahindra,AI,Positive,0.275,0.152,0,"From Cyient to TCS, 49 IT stocks see FII selling"
21,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/high-risk-investors-can-bet-on-nifty-it-index/articleshow/125474684.cms,Tech Mahindra,AI,Positive,0.275,0.029,0,High-risk investors can bet on Nifty IT index
22,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-hit-decade-high-3-2-dividend-yield-as-fiis-flee-should-you-buy-tcs-infosys-wipro-before-q1-results/articleshow/122310362.cms,Tech Mahindra,AI,Positive,0.55,0.118,0,IT stocks hit decade-high 3.2% dividend yield as FIIs flee.
23,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-rally-up-to-8-heres-what-is-fueling-the-surge/articleshow/123801466.cms,Tech Mahindra,AI,Positive,0.45,0.1,0,IT stocks rally up to 8%: Here’s what is fueling
24,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/jpmorgan-downgrades-hcl-tech-slashes-target-prices-across-indian-it-on-muted-fy26-growth-outlook/articleshow/119896294.cms,Tech Mahindra,AI,Positive,0.45,0.061,0,"JPMorgan downgrades HCL Tech, slashes target prices across Indian IT"
25,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/loading-recession-6-market-bugs-crash-it-stocks-rs-88000-crore-deleted/articleshow/118960099.cms,Tech Mahindra,AI,Positive,0.475,0.143,0,"Loading... recession? 6 market bugs crash IT stocks, Rs 88,000"
26,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-falls-153-points-nifty-below-25100-as-inflation-spooks-investors-ril-it-stocks-weigh/articleshow/114248054.cms,Tech Mahindra,AI,Positive,0.275,0.146,0,"Market Wrap: Sensex falls 153 points, Nifty below 25,100 as"
27,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/rs-2-3-lakh-crore-comeback-it-stocks-roar-to-life-but-are-they-running-on-low-battery/articleshow/120682907.cms,Tech Mahindra,AI,Positive,0.4,0.152,0,"Rs 2.3 lakh crore comeback: IT stocks roar to life,"
28,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-gains-over-150-points-defying-global-trends-nifty-back-above-22550/articleshow/118545201.cms,Tech Mahindra,AI,Negative,0.275,0.074,0,"Sensex gains over 300 points, defying global trends; Nifty back"
29,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-rises-150-points-nifty-above-23300-led-by-it-stocks-fed-outcome-in-focus/articleshow/110926758.cms,Tech Mahindra,AI,Negative,0.275,0.077,0,"Nifty hits fresh record high, Sensex soars 500 pts on"
30,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-snaps-6-day-winning-streak-slides-434-points-it-energy-stocks-drag/articleshow/107882210.cms,Tech Mahindra,AI,Positive,0.275,0.091,0,"Sensex snaps 6-day winning streak, slides 434 points; IT, energy"
31,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/tcs-in-for-some-bounce-after-a-good-q4-show/articleshow/109297445.cms,Tech Mahindra,AI,Positive,0.2,0.112,0,TCS in for some bounce after a good Q4 show
32,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/tcs-infosys-wipro-rally-up-to-3-as-dovish-fed-outlook-lifts-indian-it-stocks/articleshow/119240222.cms,Tech Mahindra,AI,Positive,0.45,0.159,0,"TCS, Infosys, Wipro rally up to 3% as dovish Fed"
33,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/wipro-shares-rally-5-amid-strong-q3-earnings-and-global-tech-surge/articleshow/117477889.cms,Tech Mahindra,AI,Positive,0.3,0.186,0,Wipro shares rally 5% amid strong Q3 earnings and global
34,economictimes.indiatimes.com,https://economictimes.indiatimes.com/mf/analysis/can-staggered-investments-in-nifty-it-etfs-lead-to-long-term-gains/articleshow/123374309.cms,Tech Mahindra,AI,Positive,0.275,0.118,0,Can staggered investments in Nifty IT ETFs lead to long-term
35,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/bengaluru-news/mangaluru-udupi-next-it-hub-how-two-towns-can-become-the-silicon-beaches-of-india-leaving-behind-bengaluru/articleshow/109300570.cms,Tech Mahindra,AI,Positive,0.275,0.224,0,Mangaluru & Udupi next IT hub? How two towns can
36,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/etdavos-leadership-holds-key-to-ai-adoption-success/articleshow/117472876.cms,Tech Mahindra,AI,Positive,0.45,0.144,0,ET@Davos: Leadership holds key to AI adoption success
37,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/india-inc-looks-to-build-pipeline-of-female-ai-talent/articleshow/107971656.cms,Tech Mahindra,AI,Positive,0.75,0.17,0,India Inc looks to build pipeline of female AI talent
38,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/trust-is-tech-mahindras-currency-and-deep-understanding-of-ai-is-its-edge-anand-mahindra/articleshow/122635325.cms,Tech Mahindra,AI,Positive,1.0,0.13,0,"Trust is Tech Mahindra’s currency, and deep understanding of AI"
39,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/international/business/ireland-offers-indian-companies-stable-secure-pro-business-environment/articleshow/115513947.cms,Tech Mahindra,AI,Positive,0.375,0.199,0,"Ireland offers Indian companies stable, secure & pro-business environment"
40,economictimes.indiatimes.com,https://economictimes.indiatimes.com/nri/work/trumps-h-1b-visa-crackdown-upends-indian-it-industrys-playbook/articleshow/124032728.cms,Tech Mahindra,AI,Positive,0.475,0.096,0,Trump's H-1B visa crackdown upends Indian IT industry's playbook -
41,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/genai-why-not-play-desi-beats/articleshow/111937369.cms,Tech Mahindra,AI,Positive,0.55,0.123,0,GenAI: GENAI: why not play desi beats - The Economic
42,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/govt-tells-indiaai-developers-to-fix-bias-checks-in-ai-models/articleshow/125819705.cms,Tech Mahindra,AI,Positive,0.475,0.113,0,Govt tells IndiaAI developers to fix bias checks in AI
43,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/indonesias-indosat-goto-launch-local-language-ai-model/articleshow/115281615.cms,Tech Mahindra,AI,Positive,0.75,0.067,0,"indosat: Indonesia's Indosat, GoTo launch local language AI model -"
44,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/kogo-ai-tech-mahindra-team-up-to-build-deliver-enterprise-ai-solutions-agents/articleshow/120896015.cms,Tech Mahindra,AI,Positive,1.0,0.083,0,"KOGO AI, Tech Mahindra team up to build, deliver enterprise"
45,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-rolls-out-hindi-language-ai-model-in-india-as-ceo-huang-visits/articleshow/114533834.cms,Tech Mahindra,AI,Positive,0.75,0.071,0,Nvidia: Nvidia rolls out Hindi-language AI model in India as
46,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/-tech-it-deals-headline/articleshow/115423069.cms,Tech Mahindra,AI,Positive,0.4,0.088,0,Information technology gets its mojo back with big September wins
47,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/cognizant-gets-its-mojo-back-under-new-ceos-watch/articleshow/106646376.cms,Tech Mahindra,AI,Negative,0.55,0.021,0,Cognizant: Cognizant gets its mojo back under new CEOâs watch
48,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/dangerous-fantasy-to-vow-80-productivity-gains-via-ai-in-five-years-says-tech-mahindra-ceo/articleshow/122820678.cms,Tech Mahindra,AI,Neutral,1.0,0.844,0,'Dangerous fantasy' to vow 80% productivity gains via AI in
49,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/europe-revival-helps-it-survive-quarter-shocks/articleshow/122843225.cms,Tech Mahindra,AI,Positive,0.55,0.092,0,Europe revival helps IT survive quarter shocks - The Economic
50,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/in-it-services-market-nimble-midsize-cos-gain-over-large-caps/articleshow/125986537.cms,Tech Mahindra,AI,Positive,0.475,0.277,0,"In IT services market, nimble midsize cos gain over large"
51,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indian-it-sector-to-see-subdued-growth-in-q3-recovery-likely-in-q4/articleshow/115418736.cms,Tech Mahindra,AI,Positive,0.475,0.201,0,Indian IT Sector: Indian IT sector to see subdued growth
52,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indian-it-sees-pockets-of-h2-recovery-in-us-eu-as-bfsi-revs-up/articleshow/124833768.cms,Tech Mahindra,AI,Positive,0.675,0.101,0,"Indian IT sees pockets of H2 recovery in US, EU"
53,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indias-it-eyes-chip-electronics-foray-to-glide-over-growth-bumps/articleshow/123884610.cms,Tech Mahindra,AI,Positive,0.475,0.079,0,"Indiaâs IT eyes chip, electronics foray to glide over growth"
54,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indias-top-it-services-exporters-buck-the-trend-to-land-multi-year-contracts/articleshow/121613546.cms,Tech Mahindra,AI,Positive,0.55,0.088,0,Indiaâs top IT services exporters buck the trend to land
55,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/it-campus-hiring-to-soar-25-this-fiscal-led-by-tcs-infosys-wipro/articleshow/114052356.cms,Tech Mahindra,AI,Positive,0.55,0.055,0,IT campus hiring: IT campus hiring to soar 25% this
