Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/auto-technology/india-unveils-first-indigenous-driverless-car-in-bengaluru/125009018,Wipro,AI,Neutral,0.675,1.0,0,Wipro–IISc–RV College unveil indigenous driverless car in Bengaluru
2,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/newsletters/need-of-the-hour-sustainable-mobility/115485183,Wipro,AI,Positive,0.4,0.157,0,Need of the Hour: Sustainable Mobility
3,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/newsletters/need-of-the-hour-sustainable-mobility/115485183,Wipro,Semiconductor,Positive,0.4,0.178,0,Need of the Hour: Sustainable Mobility
4,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Wipro,AI,Positive,0.375,0.119,0,Buy or avoid India's IT stocks after recent job cuts?
5,cnbc.com,https://www.cnbc.com/2025/04/13/here-are-the-2-big-things-were-watching-in-the-stock-market-this-week.html,Wipro,Economics,Negative,0.375,0.085,0,Here are the 2 big things we're watching in the
6,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Wipro,Economics,Negative,0.275,0.21,0,Buy or avoid India's IT stocks after recent job cuts?
7,cnbc.com,https://www.cnbc.com/2025/04/13/here-are-the-2-big-things-were-watching-in-the-stock-market-this-week.html,Wipro,Semiconductor,Positive,0.3,0.056,0,Here are the 2 big things we're watching in the
8,cnbc.com,https://www.cnbc.com/2025/08/14/buy-or-avoid-indian-tech-three-pros-share-their-take.html,Wipro,Semiconductor,Neutral,0.275,1.0,0,Buy or avoid India's IT stocks after recent job cuts?
9,cnbctv18.com,https://www.cnbctv18.com/market/infosys-tcs-wipro-hcltech-share-price-impact-of-accenture-results-adr-nyse-guidance-brokerages-19576877.htm,Wipro,AI,Positive,0.55,0.083,0,IT Stocks barring Infosys and Wipro recover after initial fall
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/121117663.cms,Wipro,AI,Positive,0.45,0.082,0,AI leadership roles up 40-60% in FY25 as talent demand
11,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/121630414.cms,Wipro,AI,Positive,0.375,0.136,0,IT’s growth search takes them to doors of mid-market firms
12,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122707562.cms,Wipro,AI,Positive,0.75,0.115,0,Wipro’s Q1 report; Former Nexus MD’s new fund
13,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/aug/14/et-front/its-time-to-hit-refresh-for-26b-deals/articleshow/112505264.cms,Wipro,AI,Positive,0.375,0.154,0,IT’s Time to Hit Refresh for $26b Deals
14,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/nov/07/et-front/sap-leverages-indian-tech-talent-to-enhance-ai-capabilities/articleshow/115031016.cms,Wipro,AI,Positive,0.575,0.141,0,‘Tech Talent in India Powering SAP’s Foundational AI Models’
15,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/oct/11/et-front/tcs-reports-5-profit-growth-in-q2-driven-by-bsnl-deal/articleshow/114130793.cms,Wipro,AI,Positive,0.3,0.071,0,India Deal Lifts TCS Q2 Revenue
16,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/aug/26/et-front/tpg-to-power-upchip-co-tessolvewith-a-150m-bet/articleshow/123512306.cms,Wipro,AI,Positive,0.3,0.067,0,TPG to Power Up Chip Co Tessolve with a $150M
17,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2025/jan/20/et-front/and-disquiet-follows-the-don-at-wef/articleshow/117379872.cms,Wipro,AI,Positive,0.3,0.037,0,"And Disquiet Follows The Don, at WEF"
18,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/cons-products/fmcg/amid-flux-fmcg-incs-turning-over-a-new-chief/articleshow/122526381.cms,Wipro,AI,Positive,0.55,0.124,0,"Amid flux, FMCG Inc's turning over a new chief"
19,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/eqt-to-acquire-chryscap-owned-healthcare-bpo-gebbs/articleshow/113184594.cms,Wipro,AI,Positive,0.2,0.085,0,EQT to acquire ChrysCap-owned healthcare BPO GeBBS
